Java HotSpot(TM) 64-Bit Server VM (25.261-b12) for bsd-amd64 JRE (1.8.0_261-b12), built on Jun 18 2020 06:38:55 by "java_re" with gcc 4.2.1 Compatible Apple LLVM 10.0.0 (clang-1000.11.45.5)
Memory: 4k page, physical 16777216k(827860k free)

/proc/meminfo:

CommandLine flags: -XX:InitialHeapSize=536870912 -XX:MaxHeapSize=536870912 -XX:MaxNewSize=178958336 -XX:MaxTenuringThreshold=6 -XX:NewSize=178958336 -XX:OldPLABSize=16 -XX:OldSize=357912576 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseConcMarkSweepGC -XX:+UseParNewGC 
2020-11-19T15:07:28.107-0800: 1.035: [GC (Allocation Failure) 2020-11-19T15:07:28.107-0800: 1.036: [ParNew: 139776K->7023K(157248K), 0.0107224 secs] 139776K->7023K(506816K), 0.0109514 secs] [Times: user=0.08 sys=0.00, real=0.01 secs] 
2020-11-19T15:07:50.312-0800: 23.241: [GC (Allocation Failure) 2020-11-19T15:07:50.312-0800: 23.241: [ParNew: 140264K->474K(157248K), 0.0027934 secs] 173495K->33705K(506816K), 0.0028807 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2020-11-19T15:07:50.386-0800: 23.315: [GC (Allocation Failure) 2020-11-19T15:07:50.387-0800: 23.315: [ParNew: 140250K->495K(157248K), 0.0031390 secs] 173481K->33726K(506816K), 0.0033195 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
2020-11-19T15:07:50.454-0800: 23.382: [GC (Allocation Failure) 2020-11-19T15:07:50.454-0800: 23.382: [ParNew: 140271K->495K(157248K), 0.0028940 secs] 173502K->33726K(506816K), 0.0030025 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2020-11-19T15:07:50.521-0800: 23.449: [GC (Allocation Failure) 2020-11-19T15:07:50.521-0800: 23.449: [ParNew: 140271K->494K(157248K), 0.0028262 secs] 173502K->33725K(506816K), 0.0029216 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2020-11-19T15:07:50.596-0800: 23.524: [GC (Allocation Failure) 2020-11-19T15:07:50.596-0800: 23.524: [ParNew: 140270K->485K(157248K), 0.0030060 secs] 173501K->33716K(506816K), 0.0030877 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2020-11-19T15:07:50.670-0800: 23.598: [GC (Allocation Failure) 2020-11-19T15:07:50.670-0800: 23.598: [ParNew: 140261K->520K(157248K), 0.0030056 secs] 173492K->33751K(506816K), 0.0030916 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2020-11-19T15:07:50.735-0800: 23.663: [GC (Allocation Failure) 2020-11-19T15:07:50.735-0800: 23.663: [ParNew: 140296K->528K(157248K), 0.0030664 secs] 173527K->33759K(506816K), 0.0031680 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2020-11-19T15:07:50.804-0800: 23.733: [GC (Allocation Failure) 2020-11-19T15:07:50.804-0800: 23.733: [ParNew: 140304K->466K(157248K), 0.0028058 secs] 173535K->33698K(506816K), 0.0028937 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2020-11-19T15:07:50.876-0800: 23.805: [GC (Allocation Failure) 2020-11-19T15:07:50.876-0800: 23.805: [ParNew: 140242K->510K(157248K), 0.0029746 secs] 173474K->33742K(506816K), 0.0030595 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
2020-11-19T15:07:50.945-0800: 23.874: [GC (Allocation Failure) 2020-11-19T15:07:50.945-0800: 23.874: [ParNew: 140286K->487K(157248K), 0.0024792 secs] 173518K->33718K(506816K), 0.0025664 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2020-11-19T15:07:51.020-0800: 23.948: [GC (Allocation Failure) 2020-11-19T15:07:51.020-0800: 23.948: [ParNew: 140263K->487K(157248K), 0.0032110 secs] 173494K->33719K(506816K), 0.0033277 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2020-11-19T15:07:51.105-0800: 24.033: [GC (Allocation Failure) 2020-11-19T15:07:51.105-0800: 24.033: [ParNew: 140263K->469K(157248K), 0.0029186 secs] 173495K->33701K(506816K), 0.0030003 secs] [Times: user=0.03 sys=0.01, real=0.00 secs] 
2020-11-19T15:07:51.180-0800: 24.108: [GC (Allocation Failure) 2020-11-19T15:07:51.180-0800: 24.108: [ParNew: 140245K->459K(157248K), 0.0028951 secs] 173477K->33691K(506816K), 0.0029876 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2020-11-19T15:07:51.252-0800: 24.180: [GC (Allocation Failure) 2020-11-19T15:07:51.252-0800: 24.180: [ParNew: 140235K->481K(157248K), 0.0030561 secs] 173467K->33713K(506816K), 0.0031390 secs] [Times: user=0.04 sys=0.00, real=0.00 secs] 
2020-11-19T15:07:51.326-0800: 24.254: [GC (Allocation Failure) 2020-11-19T15:07:51.326-0800: 24.254: [ParNew: 140257K->438K(157248K), 0.0030917 secs] 173489K->33670K(506816K), 0.0031730 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2020-11-19T15:07:51.397-0800: 24.325: [GC (Allocation Failure) 2020-11-19T15:07:51.397-0800: 24.325: [ParNew: 140214K->476K(157248K), 0.0025415 secs] 173446K->33708K(506816K), 0.0026205 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2020-11-19T15:07:51.465-0800: 24.394: [GC (Allocation Failure) 2020-11-19T15:07:51.465-0800: 24.394: [ParNew: 140252K->466K(157248K), 0.0031053 secs] 173484K->33698K(506816K), 0.0032404 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2020-11-19T15:07:51.533-0800: 24.461: [GC (Allocation Failure) 2020-11-19T15:07:51.533-0800: 24.461: [ParNew: 140242K->510K(157248K), 0.0025152 secs] 173474K->33742K(506816K), 0.0026180 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2020-11-19T15:07:51.609-0800: 24.537: [GC (Allocation Failure) 2020-11-19T15:07:51.609-0800: 24.537: [ParNew: 140286K->548K(157248K), 0.0026343 secs] 173518K->33781K(506816K), 0.0027853 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2020-11-19T15:07:51.674-0800: 24.603: [GC (Allocation Failure) 2020-11-19T15:07:51.674-0800: 24.603: [ParNew: 140324K->456K(157248K), 0.0031205 secs] 173557K->33688K(506816K), 0.0032420 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2020-11-19T15:07:51.740-0800: 24.668: [GC (Allocation Failure) 2020-11-19T15:07:51.740-0800: 24.669: [ParNew: 140232K->491K(157248K), 0.0028746 secs] 173464K->33723K(506816K), 0.0029850 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2020-11-19T15:07:51.814-0800: 24.742: [GC (Allocation Failure) 2020-11-19T15:07:51.814-0800: 24.742: [ParNew: 140267K->487K(157248K), 0.0028607 secs] 173499K->33719K(506816K), 0.0029426 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2020-11-19T15:07:51.891-0800: 24.819: [GC (Allocation Failure) 2020-11-19T15:07:51.891-0800: 24.819: [ParNew: 140263K->443K(157248K), 0.0028086 secs] 173495K->33676K(506816K), 0.0029499 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2020-11-19T15:07:51.959-0800: 24.887: [GC (Allocation Failure) 2020-11-19T15:07:51.959-0800: 24.887: [ParNew: 140219K->483K(157248K), 0.0025282 secs] 173452K->33717K(506816K), 0.0026141 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2020-11-19T15:07:52.031-0800: 24.959: [GC (Allocation Failure) 2020-11-19T15:07:52.031-0800: 24.960: [ParNew: 140259K->465K(157248K), 0.0031695 secs] 173493K->33699K(506816K), 0.0034699 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2020-11-19T15:07:52.124-0800: 25.052: [GC (Allocation Failure) 2020-11-19T15:07:52.124-0800: 25.053: [ParNew: 140241K->486K(157248K), 0.0029490 secs] 173475K->33720K(506816K), 0.0030451 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2020-11-19T15:07:52.201-0800: 25.129: [GC (Allocation Failure) 2020-11-19T15:07:52.201-0800: 25.129: [ParNew: 140262K->497K(157248K), 0.0031531 secs] 173496K->33730K(506816K), 0.0032571 secs] [Times: user=0.04 sys=0.00, real=0.00 secs] 
2020-11-19T15:07:52.268-0800: 25.196: [GC (Allocation Failure) 2020-11-19T15:07:52.268-0800: 25.196: [ParNew: 140273K->502K(157248K), 0.0027438 secs] 173506K->33735K(506816K), 0.0028249 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2020-11-19T15:07:52.336-0800: 25.264: [GC (Allocation Failure) 2020-11-19T15:07:52.336-0800: 25.265: [ParNew: 140278K->529K(157248K), 0.0037090 secs] 173511K->33763K(506816K), 0.0038223 secs] [Times: user=0.03 sys=0.01, real=0.01 secs] 
2020-11-19T15:07:52.409-0800: 25.338: [GC (Allocation Failure) 2020-11-19T15:07:52.410-0800: 25.338: [ParNew: 140305K->530K(157248K), 0.0026403 secs] 173539K->33763K(506816K), 0.0027184 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2020-11-19T15:07:52.486-0800: 25.414: [GC (Allocation Failure) 2020-11-19T15:07:52.486-0800: 25.414: [ParNew: 140306K->473K(157248K), 0.0032131 secs] 173539K->33707K(506816K), 0.0032940 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2020-11-19T15:07:52.553-0800: 25.481: [GC (Allocation Failure) 2020-11-19T15:07:52.553-0800: 25.481: [ParNew: 140249K->517K(157248K), 0.0031237 secs] 173483K->33752K(506816K), 0.0032047 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2020-11-19T15:07:52.629-0800: 25.557: [GC (Allocation Failure) 2020-11-19T15:07:52.629-0800: 25.557: [ParNew: 140293K->529K(157248K), 0.0028612 secs] 173528K->33763K(506816K), 0.0029397 secs] [Times: user=0.03 sys=0.01, real=0.01 secs] 
2020-11-19T15:07:52.708-0800: 25.636: [GC (Allocation Failure) 2020-11-19T15:07:52.708-0800: 25.637: [ParNew: 140305K->498K(157248K), 0.0028575 secs] 173539K->33732K(506816K), 0.0029432 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2020-11-19T15:07:52.783-0800: 25.711: [GC (Allocation Failure) 2020-11-19T15:07:52.783-0800: 25.711: [ParNew: 140274K->505K(157248K), 0.0027556 secs] 173508K->33740K(506816K), 0.0029238 secs] [Times: user=0.03 sys=0.01, real=0.00 secs] 
2020-11-19T15:07:52.849-0800: 25.777: [GC (Allocation Failure) 2020-11-19T15:07:52.849-0800: 25.777: [ParNew: 140281K->516K(157248K), 0.0028432 secs] 173516K->33751K(506816K), 0.0029381 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2020-11-19T15:07:52.909-0800: 25.837: [GC (Allocation Failure) 2020-11-19T15:07:52.909-0800: 25.837: [ParNew: 140292K->504K(157248K), 0.0025728 secs] 173527K->33739K(506816K), 0.0027372 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2020-11-19T15:07:52.981-0800: 25.910: [GC (Allocation Failure) 2020-11-19T15:07:52.982-0800: 25.910: [ParNew: 140280K->525K(157248K), 0.0029167 secs] 173515K->33760K(506816K), 0.0030668 secs] [Times: user=0.04 sys=0.00, real=0.00 secs] 
2020-11-19T15:07:53.055-0800: 25.983: [GC (Allocation Failure) 2020-11-19T15:07:53.055-0800: 25.983: [ParNew: 140301K->484K(157248K), 0.0030871 secs] 173536K->33719K(506816K), 0.0032304 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2020-11-19T15:07:53.132-0800: 26.060: [GC (Allocation Failure) 2020-11-19T15:07:53.132-0800: 26.060: [ParNew: 140260K->495K(157248K), 0.0031770 secs] 173495K->33731K(506816K), 0.0032648 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2020-11-19T15:07:53.204-0800: 26.132: [GC (Allocation Failure) 2020-11-19T15:07:53.204-0800: 26.132: [ParNew: 140271K->517K(157248K), 0.0029230 secs] 173507K->33753K(506816K), 0.0030045 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2020-11-19T15:07:53.281-0800: 26.209: [GC (Allocation Failure) 2020-11-19T15:07:53.281-0800: 26.209: [ParNew: 140293K->491K(157248K), 0.0031152 secs] 173529K->33727K(506816K), 0.0032066 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2020-11-19T15:07:53.350-0800: 26.278: [GC (Allocation Failure) 2020-11-19T15:07:53.350-0800: 26.278: [ParNew: 140267K->480K(157248K), 0.0033409 secs] 173503K->33716K(506816K), 0.0034370 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2020-11-19T15:07:53.426-0800: 26.354: [GC (Allocation Failure) 2020-11-19T15:07:53.426-0800: 26.354: [ParNew: 140256K->546K(157248K), 0.0030084 secs] 173492K->33782K(506816K), 0.0030964 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2020-11-19T15:07:53.495-0800: 26.424: [GC (Allocation Failure) 2020-11-19T15:07:53.496-0800: 26.424: [ParNew: 140322K->489K(157248K), 0.0029765 secs] 173558K->33725K(506816K), 0.0031188 secs] [Times: user=0.03 sys=0.01, real=0.00 secs] 
2020-11-19T15:07:53.568-0800: 26.496: [GC (Allocation Failure) 2020-11-19T15:07:53.568-0800: 26.496: [ParNew: 140265K->545K(157248K), 0.0029680 secs] 173501K->33781K(506816K), 0.0030476 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2020-11-19T15:07:53.638-0800: 26.567: [GC (Allocation Failure) 2020-11-19T15:07:53.638-0800: 26.567: [ParNew: 140321K->481K(157248K), 0.0029340 secs] 173557K->33717K(506816K), 0.0030219 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2020-11-19T15:07:53.712-0800: 26.640: [GC (Allocation Failure) 2020-11-19T15:07:53.712-0800: 26.640: [ParNew: 140257K->512K(157248K), 0.0029162 secs] 173493K->33747K(506816K), 0.0030046 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2020-11-19T15:07:53.781-0800: 26.709: [GC (Allocation Failure) 2020-11-19T15:07:53.781-0800: 26.709: [ParNew: 140288K->502K(157248K), 0.0027971 secs] 173523K->33738K(506816K), 0.0028914 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2020-11-19T15:07:53.851-0800: 26.779: [GC (Allocation Failure) 2020-11-19T15:07:53.851-0800: 26.779: [ParNew: 140278K->516K(157248K), 0.0031864 secs] 173514K->33753K(506816K), 0.0032674 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2020-11-19T15:07:53.933-0800: 26.861: [GC (Allocation Failure) 2020-11-19T15:07:53.933-0800: 26.861: [ParNew: 140292K->537K(157248K), 0.0030273 secs] 173529K->33773K(506816K), 0.0031265 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2020-11-19T15:07:53.998-0800: 26.926: [GC (Allocation Failure) 2020-11-19T15:07:53.998-0800: 26.926: [ParNew: 140313K->472K(157248K), 0.0030881 secs] 173549K->33708K(506816K), 0.0031874 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
2020-11-19T15:07:54.065-0800: 26.993: [GC (Allocation Failure) 2020-11-19T15:07:54.065-0800: 26.993: [ParNew: 140248K->485K(157248K), 0.0031961 secs] 173484K->33721K(506816K), 0.0033281 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2020-11-19T15:07:54.146-0800: 27.074: [GC (Allocation Failure) 2020-11-19T15:07:54.146-0800: 27.074: [ParNew: 140261K->478K(157248K), 0.0030862 secs] 173497K->33714K(506816K), 0.0031758 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2020-11-19T15:07:54.216-0800: 27.144: [GC (Allocation Failure) 2020-11-19T15:07:54.216-0800: 27.144: [ParNew: 140254K->473K(157248K), 0.0026436 secs] 173490K->33710K(506816K), 0.0027522 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2020-11-19T15:07:54.294-0800: 27.222: [GC (Allocation Failure) 2020-11-19T15:07:54.294-0800: 27.222: [ParNew: 140249K->526K(157248K), 0.0030481 secs] 173486K->33763K(506816K), 0.0031370 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2020-11-19T15:07:54.368-0800: 27.297: [GC (Allocation Failure) 2020-11-19T15:07:54.368-0800: 27.297: [ParNew: 140302K->494K(157248K), 0.0027513 secs] 173539K->33731K(506816K), 0.0028587 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2020-11-19T15:07:54.442-0800: 27.370: [GC (Allocation Failure) 2020-11-19T15:07:54.442-0800: 27.370: [ParNew: 140270K->509K(157248K), 0.0030060 secs] 173507K->33746K(506816K), 0.0030990 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2020-11-19T15:07:54.520-0800: 27.449: [GC (Allocation Failure) 2020-11-19T15:07:54.521-0800: 27.449: [ParNew: 140285K->537K(157248K), 0.0031633 secs] 173522K->33774K(506816K), 0.0032795 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2020-11-19T15:07:54.589-0800: 27.517: [GC (Allocation Failure) 2020-11-19T15:07:54.589-0800: 27.517: [ParNew: 140313K->523K(157248K), 0.0030630 secs] 173550K->33761K(506816K), 0.0031633 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
2020-11-19T15:07:54.656-0800: 27.585: [GC (Allocation Failure) 2020-11-19T15:07:54.657-0800: 27.585: [ParNew: 140299K->419K(157248K), 0.0025732 secs] 173537K->33657K(506816K), 0.0026678 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2020-11-19T15:07:54.724-0800: 27.653: [GC (Allocation Failure) 2020-11-19T15:07:54.724-0800: 27.653: [ParNew: 140195K->462K(157248K), 0.0031297 secs] 173433K->33700K(506816K), 0.0032364 secs] [Times: user=0.04 sys=0.01, real=0.00 secs] 
2020-11-19T15:07:54.801-0800: 27.729: [GC (Allocation Failure) 2020-11-19T15:07:54.801-0800: 27.729: [ParNew: 140238K->538K(157248K), 0.0026968 secs] 173476K->33776K(506816K), 0.0028029 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2020-11-19T15:07:54.877-0800: 27.805: [GC (Allocation Failure) 2020-11-19T15:07:54.877-0800: 27.805: [ParNew: 140314K->490K(157248K), 0.0029633 secs] 173552K->33728K(506816K), 0.0030677 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2020-11-19T15:07:54.953-0800: 27.881: [GC (Allocation Failure) 2020-11-19T15:07:54.953-0800: 27.881: [ParNew: 140266K->526K(157248K), 0.0027045 secs] 173504K->33764K(506816K), 0.0028079 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2020-11-19T15:07:55.029-0800: 27.957: [GC (Allocation Failure) 2020-11-19T15:07:55.029-0800: 27.958: [ParNew: 140302K->506K(157248K), 0.0027269 secs] 173540K->33744K(506816K), 0.0028431 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2020-11-19T15:07:55.101-0800: 28.029: [GC (Allocation Failure) 2020-11-19T15:07:55.101-0800: 28.029: [ParNew: 140282K->542K(157248K), 0.0029809 secs] 173520K->33780K(506816K), 0.0030828 secs] [Times: user=0.04 sys=0.00, real=0.00 secs] 
2020-11-19T15:07:55.189-0800: 28.117: [GC (Allocation Failure) 2020-11-19T15:07:55.189-0800: 28.117: [ParNew: 140318K->503K(157248K), 0.0029937 secs] 173556K->33741K(506816K), 0.0030922 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2020-11-19T15:07:55.260-0800: 28.188: [GC (Allocation Failure) 2020-11-19T15:07:55.260-0800: 28.188: [ParNew: 140279K->517K(157248K), 0.0030365 secs] 173517K->33756K(506816K), 0.0031362 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2020-11-19T15:07:55.330-0800: 28.258: [GC (Allocation Failure) 2020-11-19T15:07:55.330-0800: 28.258: [ParNew: 140293K->511K(157248K), 0.0026438 secs] 173532K->33750K(506816K), 0.0027389 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2020-11-19T15:07:55.398-0800: 28.326: [GC (Allocation Failure) 2020-11-19T15:07:55.398-0800: 28.326: [ParNew: 140287K->511K(157248K), 0.0026956 secs] 173526K->33750K(506816K), 0.0028126 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2020-11-19T15:07:55.468-0800: 28.396: [GC (Allocation Failure) 2020-11-19T15:07:55.468-0800: 28.396: [ParNew: 140287K->452K(157248K), 0.0029921 secs] 173526K->33691K(506816K), 0.0030935 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2020-11-19T15:07:55.536-0800: 28.465: [GC (Allocation Failure) 2020-11-19T15:07:55.537-0800: 28.465: [ParNew: 140228K->480K(157248K), 0.0029185 secs] 173467K->33719K(506816K), 0.0030292 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2020-11-19T15:07:55.603-0800: 28.531: [GC (Allocation Failure) 2020-11-19T15:07:55.603-0800: 28.531: [ParNew: 140256K->507K(157248K), 0.0029212 secs] 173495K->33746K(506816K), 0.0030208 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2020-11-19T15:07:55.668-0800: 28.596: [GC (Allocation Failure) 2020-11-19T15:07:55.668-0800: 28.596: [ParNew: 140283K->497K(157248K), 0.0024314 secs] 173522K->33736K(506816K), 0.0025344 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2020-11-19T15:07:55.743-0800: 28.671: [GC (Allocation Failure) 2020-11-19T15:07:55.743-0800: 28.671: [ParNew: 140273K->491K(157248K), 0.0027630 secs] 173512K->33730K(506816K), 0.0028721 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2020-11-19T15:07:55.826-0800: 28.755: [GC (Allocation Failure) 2020-11-19T15:07:55.826-0800: 28.755: [ParNew: 140267K->517K(157248K), 0.0028639 secs] 173506K->33756K(506816K), 0.0029561 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2020-11-19T15:07:55.906-0800: 28.834: [GC (Allocation Failure) 2020-11-19T15:07:55.906-0800: 28.834: [ParNew: 140293K->504K(157248K), 0.0027599 secs] 173532K->33744K(506816K), 0.0028506 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2020-11-19T15:07:55.974-0800: 28.902: [GC (Allocation Failure) 2020-11-19T15:07:55.974-0800: 28.902: [ParNew: 140280K->468K(157248K), 0.0031354 secs] 173520K->33708K(506816K), 0.0032508 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2020-11-19T15:07:56.042-0800: 28.970: [GC (Allocation Failure) 2020-11-19T15:07:56.042-0800: 28.970: [ParNew: 140244K->481K(157248K), 0.0028965 secs] 173484K->33721K(506816K), 0.0029959 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2020-11-19T15:07:56.117-0800: 29.045: [GC (Allocation Failure) 2020-11-19T15:07:56.117-0800: 29.045: [ParNew: 140257K->519K(157248K), 0.0028945 secs] 173497K->33759K(506816K), 0.0029894 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2020-11-19T15:07:56.201-0800: 29.129: [GC (Allocation Failure) 2020-11-19T15:07:56.201-0800: 29.129: [ParNew: 140295K->506K(157248K), 0.0029890 secs] 173535K->33747K(506816K), 0.0030798 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2020-11-19T15:07:56.273-0800: 29.201: [GC (Allocation Failure) 2020-11-19T15:07:56.273-0800: 29.201: [ParNew: 140282K->567K(157248K), 0.0028638 secs] 173523K->33808K(506816K), 0.0029618 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2020-11-19T15:07:56.343-0800: 29.271: [GC (Allocation Failure) 2020-11-19T15:07:56.343-0800: 29.271: [ParNew: 140343K->476K(157248K), 0.0028226 secs] 173584K->33717K(506816K), 0.0029117 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2020-11-19T15:07:56.413-0800: 29.342: [GC (Allocation Failure) 2020-11-19T15:07:56.414-0800: 29.342: [ParNew: 140252K->481K(157248K), 0.0028701 secs] 173493K->33722K(506816K), 0.0029623 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2020-11-19T15:07:56.482-0800: 29.410: [GC (Allocation Failure) 2020-11-19T15:07:56.482-0800: 29.410: [ParNew: 140257K->477K(157248K), 0.0029059 secs] 173498K->33718K(506816K), 0.0030282 secs] [Times: user=0.04 sys=0.00, real=0.00 secs] 
2020-11-19T15:07:56.551-0800: 29.479: [GC (Allocation Failure) 2020-11-19T15:07:56.551-0800: 29.479: [ParNew: 140253K->483K(157248K), 0.0029285 secs] 173494K->33724K(506816K), 0.0030180 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2020-11-19T15:07:56.620-0800: 29.548: [GC (Allocation Failure) 2020-11-19T15:07:56.620-0800: 29.548: [ParNew: 140259K->505K(157248K), 0.0028505 secs] 173500K->33746K(506816K), 0.0029432 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2020-11-19T15:07:56.690-0800: 29.619: [GC (Allocation Failure) 2020-11-19T15:07:56.690-0800: 29.619: [ParNew: 140281K->469K(157248K), 0.0028360 secs] 173522K->33710K(506816K), 0.0029337 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2020-11-19T15:07:56.759-0800: 29.687: [GC (Allocation Failure) 2020-11-19T15:07:56.759-0800: 29.687: [ParNew: 140245K->534K(157248K), 0.0027813 secs] 173486K->33776K(506816K), 0.0028761 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2020-11-19T15:07:56.826-0800: 29.754: [GC (Allocation Failure) 2020-11-19T15:07:56.826-0800: 29.754: [ParNew: 140310K->486K(157248K), 0.0027973 secs] 173552K->33729K(506816K), 0.0028875 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2020-11-19T15:07:56.899-0800: 29.827: [GC (Allocation Failure) 2020-11-19T15:07:56.899-0800: 29.827: [ParNew: 140262K->473K(157248K), 0.0027967 secs] 173505K->33715K(506816K), 0.0028869 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
2020-11-19T15:07:56.966-0800: 29.895: [GC (Allocation Failure) 2020-11-19T15:07:56.966-0800: 29.895: [ParNew: 140249K->500K(157248K), 0.0028914 secs] 173491K->33742K(506816K), 0.0029824 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2020-11-19T15:07:57.031-0800: 29.959: [GC (Allocation Failure) 2020-11-19T15:07:57.031-0800: 29.959: [ParNew: 140276K->479K(157248K), 0.0026718 secs] 173518K->33721K(506816K), 0.0027897 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2020-11-19T15:07:57.100-0800: 30.029: [GC (Allocation Failure) 2020-11-19T15:07:57.101-0800: 30.029: [ParNew: 140255K->482K(157248K), 0.0028231 secs] 173497K->33726K(506816K), 0.0029169 secs] [Times: user=0.04 sys=0.00, real=0.00 secs] 
2020-11-19T15:07:57.189-0800: 30.117: [GC (Allocation Failure) 2020-11-19T15:07:57.189-0800: 30.117: [ParNew: 140258K->534K(157248K), 0.0030091 secs] 173502K->33778K(506816K), 0.0030994 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2020-11-19T15:07:57.254-0800: 30.183: [GC (Allocation Failure) 2020-11-19T15:07:57.255-0800: 30.183: [ParNew: 140310K->522K(157248K), 0.0028300 secs] 173554K->33767K(506816K), 0.0029261 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
