Java HotSpot(TM) 64-Bit Server VM (25.261-b12) for bsd-amd64 JRE (1.8.0_261-b12), built on Jun 18 2020 06:38:55 by "java_re" with gcc 4.2.1 Compatible Apple LLVM 10.0.0 (clang-1000.11.45.5)
Memory: 4k page, physical 16777216k(1709876k free)

/proc/meminfo:

CommandLine flags: -XX:InitialHeapSize=4294967296 -XX:MaxHeapSize=4294967296 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseSerialGC 
2020-11-19T15:49:14.039-0800: 1.221: [Full GC (Metadata GC Threshold) 2020-11-19T15:49:14.039-0800: 1.221: [Tenured: 0K->11035K(2796224K), 0.0598552 secs] 335559K->11035K(4054528K), [Metaspace: 20159K->20159K(1067008K)], 0.0599574 secs] [Times: user=0.06 sys=0.00, real=0.06 secs] 
2020-11-19T15:49:28.586-0800: 15.769: [GC (Allocation Failure) 2020-11-19T15:49:28.586-0800: 15.769: [DefNew: 1118528K->12471K(1258304K), 0.0265008 secs] 1129563K->23506K(4054528K), 0.0266230 secs] [Times: user=0.02 sys=0.00, real=0.03 secs] 
2020-11-19T15:51:01.207-0800: 108.389: [GC (Allocation Failure) 2020-11-19T15:51:01.207-0800: 108.389: [DefNew: 1118859K->323K(1258304K), 0.0026050 secs] 1159135K->40599K(4054528K), 0.0026799 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-11-19T15:51:14.295-0800: 121.477: [GC (Allocation Failure) 2020-11-19T15:51:14.296-0800: 121.478: [DefNew: 1118851K->352K(1258304K), 0.0025024 secs] 1159127K->40628K(4054528K), 0.0025843 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-11-19T15:51:14.820-0800: 122.002: [GC (Allocation Failure) 2020-11-19T15:51:14.820-0800: 122.002: [DefNew: 1118880K->381K(1258304K), 0.0026384 secs] 1159156K->40657K(4054528K), 0.0027179 secs] [Times: user=0.00 sys=0.01, real=0.00 secs] 
2020-11-19T15:51:15.916-0800: 123.098: [GC (Allocation Failure) 2020-11-19T15:51:15.916-0800: 123.098: [DefNew: 1118909K->334K(1258304K), 0.0025702 secs] 1159185K->40610K(4054528K), 0.0026436 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-11-19T15:51:16.455-0800: 123.637: [GC (Allocation Failure) 2020-11-19T15:51:16.455-0800: 123.637: [DefNew: 1118862K->355K(1258304K), 0.0027016 secs] 1159138K->40631K(4054528K), 0.0027848 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-11-19T15:51:16.997-0800: 124.179: [GC (Allocation Failure) 2020-11-19T15:51:16.997-0800: 124.179: [DefNew: 1118883K->348K(1258304K), 0.0026415 secs] 1159159K->40624K(4054528K), 0.0027950 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2020-11-19T15:51:17.528-0800: 124.710: [GC (Allocation Failure) 2020-11-19T15:51:17.528-0800: 124.710: [DefNew: 1118876K->365K(1258304K), 0.0027515 secs] 1159152K->40642K(4054528K), 0.0028530 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-11-19T15:51:18.686-0800: 125.868: [GC (Allocation Failure) 2020-11-19T15:51:18.686-0800: 125.868: [DefNew: 1118893K->344K(1258304K), 0.0026187 secs] 1159170K->40621K(4054528K), 0.0027012 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-11-19T15:51:19.215-0800: 126.397: [GC (Allocation Failure) 2020-11-19T15:51:19.215-0800: 126.397: [DefNew: 1118872K->334K(1258304K), 0.0025891 secs] 1159149K->40611K(4054528K), 0.0026638 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-11-19T15:51:19.749-0800: 126.931: [GC (Allocation Failure) 2020-11-19T15:51:19.749-0800: 126.931: [DefNew: 1118862K->341K(1258304K), 0.0028128 secs] 1159139K->40618K(4054528K), 0.0029154 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2020-11-19T15:51:20.275-0800: 127.457: [GC (Allocation Failure) 2020-11-19T15:51:20.275-0800: 127.457: [DefNew: 1118869K->314K(1258304K), 0.0025663 secs] 1159146K->40591K(4054528K), 0.0026404 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-11-19T15:51:21.631-0800: 128.813: [GC (Allocation Failure) 2020-11-19T15:51:21.631-0800: 128.813: [DefNew: 1118842K->327K(1258304K), 0.0028232 secs] 1159119K->40604K(4054528K), 0.0029094 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-11-19T15:51:22.137-0800: 129.319: [GC (Allocation Failure) 2020-11-19T15:51:22.137-0800: 129.319: [DefNew: 1118855K->322K(1258304K), 0.0026157 secs] 1159132K->40599K(4054528K), 0.0026968 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-11-19T15:51:22.956-0800: 130.138: [GC (Allocation Failure) 2020-11-19T15:51:22.956-0800: 130.138: [DefNew: 1118845K->373K(1258304K), 0.0025842 secs] 1159122K->40650K(4054528K), 0.0026619 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-11-19T15:51:23.470-0800: 130.652: [GC (Allocation Failure) 2020-11-19T15:51:23.470-0800: 130.652: [DefNew: 1118901K->379K(1258304K), 0.0028265 secs] 1159178K->40656K(4054528K), 0.0029685 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-11-19T15:51:23.989-0800: 131.171: [GC (Allocation Failure) 2020-11-19T15:51:23.989-0800: 131.171: [DefNew: 1118907K->309K(1258304K), 0.0027390 secs] 1159184K->40586K(4054528K), 0.0028417 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-11-19T15:51:24.489-0800: 131.671: [GC (Allocation Failure) 2020-11-19T15:51:24.489-0800: 131.671: [DefNew: 1118837K->347K(1258304K), 0.0025495 secs] 1159114K->40624K(4054528K), 0.0026264 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-11-19T15:51:25.575-0800: 132.757: [GC (Allocation Failure) 2020-11-19T15:51:25.575-0800: 132.757: [DefNew: 1118875K->378K(1258304K), 0.0025855 secs] 1159152K->40655K(4054528K), 0.0026666 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-11-19T15:51:26.925-0800: 134.107: [GC (Allocation Failure) 2020-11-19T15:51:26.925-0800: 134.107: [DefNew: 1118906K->345K(1258304K), 0.0025910 secs] 1159183K->40622K(4054528K), 0.0026812 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-11-19T15:51:27.433-0800: 134.615: [GC (Allocation Failure) 2020-11-19T15:51:27.433-0800: 134.615: [DefNew: 1118873K->340K(1258304K), 0.0027424 secs] 1159150K->40617K(4054528K), 0.0029581 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-11-19T15:51:28.542-0800: 135.724: [GC (Allocation Failure) 2020-11-19T15:51:28.542-0800: 135.724: [DefNew: 1118868K->344K(1258304K), 0.0025816 secs] 1159145K->40622K(4054528K), 0.0026690 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-11-19T15:51:30.084-0800: 137.266: [GC (Allocation Failure) 2020-11-19T15:51:30.084-0800: 137.266: [DefNew: 1118872K->337K(1258304K), 0.0025924 secs] 1159150K->40615K(4054528K), 0.0026800 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-11-19T15:51:30.622-0800: 137.804: [GC (Allocation Failure) 2020-11-19T15:51:30.622-0800: 137.804: [DefNew: 1118865K->361K(1258304K), 0.0026013 secs] 1159143K->40640K(4054528K), 0.0026789 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-11-19T15:51:31.899-0800: 139.081: [GC (Allocation Failure) 2020-11-19T15:51:31.899-0800: 139.081: [DefNew: 1118889K->369K(1258304K), 0.0027938 secs] 1159168K->40647K(4054528K), 0.0028799 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-11-19T15:51:32.402-0800: 139.584: [GC (Allocation Failure) 2020-11-19T15:51:32.402-0800: 139.584: [DefNew: 1118897K->349K(1258304K), 0.0027100 secs] 1159175K->40627K(4054528K), 0.0028019 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-11-19T15:51:33.301-0800: 140.483: [GC (Allocation Failure) 2020-11-19T15:51:33.301-0800: 140.483: [DefNew: 1118877K->319K(1258304K), 0.0026260 secs] 1159155K->40598K(4054528K), 0.0027570 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-11-19T15:51:33.829-0800: 141.011: [GC (Allocation Failure) 2020-11-19T15:51:33.829-0800: 141.011: [DefNew: 1118847K->355K(1258304K), 0.0026604 secs] 1159126K->40633K(4054528K), 0.0027424 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-11-19T15:51:34.358-0800: 141.540: [GC (Allocation Failure) 2020-11-19T15:51:34.358-0800: 141.540: [DefNew: 1118883K->356K(1258304K), 0.0026373 secs] 1159161K->40634K(4054528K), 0.0027114 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
Heap
 def new generation   total 1258304K, used 1016754K [0x00000006c0000000, 0x0000000715550000, 0x0000000715550000)
  eden space 1118528K,  90% used [0x00000006c0000000, 0x00000006fe0938c8, 0x0000000704450000)
  from space 139776K,   0% used [0x000000070ccd0000, 0x000000070cd29088, 0x0000000715550000)
  to   space 139776K,   0% used [0x0000000704450000, 0x0000000704450000, 0x000000070ccd0000)
 tenured generation   total 2796224K, used 40278K [0x0000000715550000, 0x00000007c0000000, 0x00000007c0000000)
   the space 2796224K,   1% used [0x0000000715550000, 0x0000000717ca5930, 0x0000000717ca5a00, 0x00000007c0000000)
 Metaspace       used 32648K, capacity 34744K, committed 36440K, reserved 1081344K
  class space    used 3960K, capacity 4325K, committed 4608K, reserved 1048576K
